nr;marka;model;pojemnosc;przebieg;lata;cena;diesel
1;Fiat       ;Fiat Seicento                                     ;899;52000;5;9500;0
2;Volkswagen ;Volkswagen Corrado                                ;2000;188000;12;15900;0
4;Ford       ;Ford Focus Combi                                  ;1800;125000;5;27900;1
5;Opel       ;Opel Vectra                                       ;1800;148000;9;16600;0
7;Citroen    ;Citroen Xsara II                                  ;1400;70000;5;20000;0
8;Toyota     ;Toyota Avensis                                    ;1600;105000;6;27500;0
9;BMW        ;BMW 320                                           ;2000;164000;11;15600;0
10;Peugeot    ;Peugeot 206                                       ;1124;72000;6;16000;0
11;Volkswagen ;Volkswagen Golf IV                                ;1400;52000;3;26500;0
12;Audi       ;Audi A3                                           ;1600;108000;5;34000;0
14;Mazda      ;Mazda 323                                         ;1600;188000;13;5000;0
18;Peugeot    ;Peugeot 206                                       ;1100;90300;5;17500;0
20;Subaru     ;Subaru Forester                                   ;2000;153000;7;26500;0
21;Fiat       ;Fiat Marea                                        ;1900;150000;5;19800;1
23;Opel       ;Opel Vectra                                       ;1800;160000;9;14500;0
24;Citroen    ;Citroen C3                                        ;1400;83000;3;27500;0
27;Subaru     ;Subaru IMPREZA                                    ;1600;147000;10;11500;0
28;Renault    ;Renault Megane Kombi                              ;1600;140000;6;19900;0
29;Opel       ;Opel Astra II                                     ;2000;149000;5;27800;1
31;Honda      ;Honda Civic                                       ;1400;147000;9;14400;0
32;Hyundai    ;Hyundai Accent                                    ;1341;180000;7;10900;0
33;Renault    ;Renault Clio III                                  ;1400;90000;4;27900;0
34;Ford       ;Ford Escort Kombi                                 ;1600;118000;10;10500;0
38;BMW        ;BMW 316i coupe                                    ;1600;168000;9;14500;0
39;Opel       ;Opel Corsa-B                                      ;973;65000;6;13500;0
41;Opel       ;Opel Astra II Combi                               ;1700;129000;7;21900;1
43;Skoda      ;Skoda Felicia                                     ;1600;73000;6;13900;0
47;Ford       ;Ford Fiesta                                       ;1300;103000;7;11300;0
50;Fiat       ;Fiat Punto                                        ;1100;56700;7;9900;0
53;Ford       ;Ford KA                                           ;1300;57600;8;9999;0
56;Skoda      ;Skoda Octavia                                     ;1600;136000;6;24900;0
57;Skoda      ;Skoda Felicia PICK-UP                             ;1300;93000;5;13900;0
